act_dict	40	53	31	4856	0.56338028169	0.430107526882	0.487804878049	0.711882083474
racial_dict	2	91	5	4882	0.285714285714	0.0215053763441	0.04	0.510241126887
nat_dict	2	91	0	4887	1.0	0.0215053763441	0.0421052631579	0.510752688172
job_dict	7	86	11	4876	0.388888888889	0.0752688172043	0.126126126126	0.536508973775
wordnet_dict	56	37	59	4828	0.486956521739	0.602150537634	0.538461538462	0.795038845654
all_dict	67	26	79	4808	0.458904109589	0.720430107527	0.560669456067	0.85213238546
twit_identities10_alone	88	5	978	3909	0.0825515947467	0.94623655914	0.151855047455	0.873056892216
twit_identities10_w_all	88	5	979	3908	0.0824742268041	0.94623655914	0.151724137931	0.872954579959
twit_identities100_alone	81	12	691	4196	0.104922279793	0.870967741935	0.187283236994	0.864786101375
twit_identities100_w_all	84	9	705	4182	0.106463878327	0.903225806452	0.190476190476	0.879482762035
twit_identities1000_alone	72	21	326	4561	0.180904522613	0.774193548387	0.293279022403	0.853742978409
twit_identities1000_w_all	76	17	351	4536	0.177985948478	0.817204301075	0.292307692308	0.872690548328
twit_identities10000_alone	56	37	56	4831	0.5	0.602150537634	0.546341463415	0.795345782425
twit_identities10000_w_all	72	21	106	4781	0.404494382022	0.774193548387	0.531365313653	0.876251674951
twit_identities50000_alone	34	59	16	4871	0.68	0.365591397849	0.475524475524	0.681158702813
twit_identities50000_w_all	69	24	81	4806	0.46	0.741935483871	0.567901234568	0.862680449118
