,0,1,2
0,coach,09-09,120
1,coach,09-08,7
2,coach,02-15,2475
3,coach,02-14,9233
4,coach,02-11,326
5,coach,02-10,151
6,coach,02-13,3779
7,coach,02-12,1234
8,coach,07-13,3564
9,coach,05-09,105
10,coach,05-08,1
11,coach,04-13,5295
12,coach,04-12,1675
13,coach,04-11,428
14,coach,04-10,163
15,coach,04-14,11749
16,coach,09-14,17428
17,coach,07-12,1674
18,coach,09-10,226
19,coach,09-11,759
20,coach,09-12,2519
21,coach,09-13,6527
22,coach,07-10,161
23,coach,08-10,147
24,coach,11-14,25540
25,coach,11-11,1967
26,coach,11-10,302
27,coach,11-13,8540
28,coach,11-12,4901
29,coach,02-09,20
30,coach,05-10,133
31,coach,05-11,550
32,coach,05-12,1541
33,coach,05-13,4514
34,coach,05-14,12707
35,coach,07-08,1
36,coach,04-08,4
37,coach,04-09,81
38,coach,06-11,511
39,coach,06-10,221
40,coach,06-13,5402
41,coach,06-12,1710
42,coach,06-14,13973
43,coach,07-09,96
44,coach,03-09,41
45,coach,03-08,2
46,coach,11-08,4
47,coach,11-09,103
48,coach,07-14,10886
49,coach,08-14,11856
50,coach,08-13,4036
51,coach,08-12,2022
52,coach,08-11,1614
53,coach,07-11,2131
54,coach,06-08,2
55,coach,06-09,78
56,coach,03-12,2142
57,coach,03-13,4888
58,coach,03-10,142
59,coach,03-11,497
60,coach,10-07,1
61,coach,10-09,112
62,coach,10-08,6
63,coach,08-08,3
64,coach,08-09,88
65,coach,01-09,18
66,coach,01-08,1
67,coach,10-12,2901
68,coach,10-13,7047
69,coach,10-10,247
70,coach,10-11,879
71,coach,10-14,20434
72,coach,01-14,13967
73,coach,01-15,22230
74,coach,01-10,223
75,coach,03-14,12041
76,coach,01-12,1997
77,coach,01-13,5911
78,coach,12-09,135
79,coach,12-08,13
80,coach,01-11,503
81,coach,12-14,30961
82,coach,12-10,383
83,coach,12-11,1370
84,coach,12-12,4967
85,coach,12-13,12498
86,producer,10-13,1086
87,producer,02-14,1382
88,producer,10-10,78
89,producer,10-11,202
90,producer,02-11,107
91,producer,11-13,1114
92,producer,02-13,794
93,producer,11-14,3475
94,producer,03-09,22
95,producer,05-09,45
96,producer,11-09,31
97,producer,08-08,3
98,producer,12-11,183
99,producer,09-08,6
100,producer,07-13,975
101,producer,02-10,63
102,producer,07-14,2148
103,producer,08-14,2282
104,producer,08-13,1096
105,producer,08-12,484
106,producer,08-11,198
107,producer,07-11,183
108,producer,04-13,833
109,producer,01-15,2140
110,producer,04-11,123
111,producer,04-10,64
112,producer,01-10,48
113,producer,10-14,3011
114,producer,01-12,264
115,producer,04-14,1687
116,producer,09-14,2647
117,producer,07-12,441
118,producer,02-12,383
119,producer,09-10,64
120,producer,09-11,181
121,producer,09-12,552
122,producer,09-13,1011
123,producer,05-08,2
124,producer,12-09,38
125,producer,12-08,4
126,producer,07-10,53
127,producer,10-08,7
128,producer,06-09,33
129,producer,03-12,357
130,producer,01-14,1797
131,producer,03-10,59
132,producer,03-11,125
133,producer,11-11,204
134,producer,11-10,65
135,producer,03-14,1822
136,producer,11-12,642
137,producer,10-09,41
138,producer,04-12,309
139,producer,03-13,716
140,producer,02-09,12
141,producer,05-10,62
142,producer,05-11,147
143,producer,05-12,345
144,producer,05-13,829
145,producer,05-14,1996
146,producer,11-08,2
147,producer,08-10,64
148,producer,02-15,261
149,producer,01-11,89
150,producer,12-14,3522
151,producer,04-08,1
152,producer,10-12,554
153,producer,12-10,51
154,producer,04-09,31
155,producer,12-12,523
156,producer,12-13,1147
157,producer,09-09,45
158,producer,01-13,798
159,producer,01-09,7
160,producer,06-11,146
161,producer,06-10,73
162,producer,06-13,940
163,producer,06-12,394
164,producer,06-14,1842
165,producer,07-09,38
166,producer,08-09,51
167,producer,07-08,2
168,medalist,02-15,2
169,medalist,02-14,188
170,medalist,10-11,2
171,medalist,02-11,1
172,medalist,02-10,6
173,medalist,02-13,14
174,medalist,10-13,8
175,medalist,03-09,1
176,medalist,09-10,1
177,medalist,07-14,30
178,medalist,08-14,32
179,medalist,07-12,36
180,medalist,07-13,12
181,medalist,08-11,1
182,medalist,01-14,20
183,medalist,01-15,26
184,medalist,04-11,1
185,medalist,04-10,1
186,medalist,11-13,15
187,medalist,10-14,45
188,medalist,01-12,1
189,medalist,04-14,21
190,medalist,09-14,21
191,medalist,08-13,14
192,medalist,04-13,13
193,medalist,02-12,1
194,medalist,08-12,182
195,medalist,09-12,19
196,medalist,09-13,11
197,medalist,03-12,5
198,medalist,11-14,21
199,medalist,03-10,1
200,medalist,11-11,1
201,medalist,03-14,31
202,medalist,11-12,3
203,medalist,10-09,1
204,medalist,04-12,5
205,medalist,03-13,9
206,medalist,05-12,5
207,medalist,05-13,7
208,medalist,05-14,16
209,medalist,01-10,1
210,medalist,01-11,1
211,medalist,12-14,27
212,medalist,10-12,11
213,medalist,12-12,9
214,medalist,12-13,11
215,medalist,09-09,2
216,medalist,01-13,7
217,medalist,06-11,1
218,medalist,06-13,10
219,medalist,06-12,3
220,medalist,06-14,17
221,victim,09-13,4122
222,victim,09-09,105
223,victim,09-08,6
224,victim,02-15,620
225,victim,02-14,4323
226,victim,02-11,149
227,victim,02-10,65
228,victim,02-13,1963
229,victim,02-12,517
230,victim,05-09,33
231,victim,05-08,1
232,victim,04-13,4849
233,victim,04-12,638
234,victim,04-11,253
235,victim,04-10,84
236,victim,04-14,6015
237,victim,09-14,14172
238,victim,07-12,2343
239,victim,09-10,138
240,victim,09-11,561
241,victim,09-12,1450
242,victim,07-13,3919
243,victim,08-11,313
244,victim,08-10,106
245,victim,11-14,19645
246,victim,11-11,717
247,victim,11-10,88
248,victim,11-13,3564
249,victim,11-12,2087
250,victim,02-08,1
251,victim,02-09,25
252,victim,05-10,79
253,victim,05-11,466
254,victim,05-12,673
255,victim,05-13,3328
256,victim,05-14,7333
257,victim,07-08,1
258,victim,04-08,1
259,victim,04-09,44
260,victim,06-11,275
261,victim,06-10,89
262,victim,06-13,2462
263,victim,06-12,1138
264,victim,06-14,5914
265,victim,07-09,62
266,victim,03-09,34
267,victim,03-08,1
268,victim,11-08,6
269,victim,11-09,108
270,victim,07-14,9317
271,victim,08-14,11905
272,victim,08-13,2880
273,victim,08-12,1263
274,victim,07-10,111
275,victim,07-11,403
276,victim,06-07,1
277,victim,06-08,4
278,victim,06-09,65
279,victim,03-12,843
280,victim,03-13,2261
281,victim,03-10,80
282,victim,03-11,248
283,victim,03-14,4666
284,victim,10-09,64
285,victim,10-08,18
286,victim,08-08,1
287,victim,08-09,70
288,victim,01-09,18
289,victim,10-12,1616
290,victim,10-13,2981
291,victim,10-10,128
292,victim,10-11,320
293,victim,10-14,14463
294,victim,01-14,4044
295,victim,01-15,7236
296,victim,01-10,107
297,victim,01-11,346
298,victim,01-12,442
299,victim,01-13,2179
300,victim,12-09,48
301,victim,12-08,5
302,victim,12-14,20553
303,victim,12-10,145
304,victim,12-11,441
305,victim,12-12,3678
306,victim,12-13,3311
307,nephew,02-15,290
308,nephew,02-14,1426
309,nephew,10-10,98
310,nephew,10-11,283
311,nephew,08-12,586
312,nephew,11-13,1488
313,nephew,10-14,3307
314,nephew,10-13,1216
315,nephew,03-09,32
316,nephew,03-08,1
317,nephew,11-08,11
318,nephew,11-09,71
319,nephew,09-08,7
320,nephew,02-10,43
321,nephew,06-09,56
322,nephew,07-14,2794
323,nephew,08-14,3268
324,nephew,08-13,1211
325,nephew,07-13,1397
326,nephew,05-09,66
327,nephew,07-11,245
328,nephew,04-13,1009
329,nephew,01-15,2467
330,nephew,04-11,158
331,nephew,04-10,78
332,nephew,01-10,47
333,nephew,02-13,711
334,nephew,01-12,321
335,nephew,04-14,1706
336,nephew,09-14,2848
337,nephew,07-12,624
338,nephew,02-11,99
339,nephew,02-12,316
340,nephew,09-10,88
341,nephew,09-11,266
342,nephew,09-12,511
343,nephew,09-13,1154
344,nephew,05-08,2
345,nephew,12-09,90
346,nephew,12-08,9
347,nephew,08-11,232
348,nephew,10-08,6
349,nephew,06-08,3
350,nephew,08-10,86
351,nephew,12-07,2
352,nephew,03-12,465
353,nephew,11-14,4587
354,nephew,03-10,63
355,nephew,03-11,131
356,nephew,11-11,344
357,nephew,11-10,87
358,nephew,03-14,1819
359,nephew,11-12,791
360,nephew,10-09,42
361,nephew,04-12,425
362,nephew,03-13,887
363,nephew,02-09,14
364,nephew,05-10,90
365,nephew,05-11,148
366,nephew,05-12,492
367,nephew,05-13,987
368,nephew,05-14,2053
369,nephew,07-08,4
370,nephew,07-10,71
371,nephew,04-09,66
372,nephew,12-14,5688
373,nephew,08-08,3
374,nephew,10-12,626
375,nephew,01-14,1593
376,nephew,12-10,149
377,nephew,12-11,477
378,nephew,12-12,1218
379,nephew,12-13,1899
380,nephew,09-09,54
381,nephew,01-13,804
382,nephew,01-09,7
383,nephew,06-11,187
384,nephew,06-10,74
385,nephew,06-13,1067
386,nephew,06-12,555
387,nephew,01-11,92
388,nephew,06-14,2238
389,nephew,07-09,82
390,nephew,08-09,69
391,mayor,09-13,2051
392,mayor,09-07,1
393,mayor,09-09,87
394,mayor,09-08,12
395,mayor,02-15,266
396,mayor,02-14,2990
397,mayor,02-11,204
398,mayor,02-10,108
399,mayor,02-13,1294
400,mayor,02-12,363
401,mayor,05-09,35
402,mayor,05-08,1
403,mayor,04-13,1543
404,mayor,04-12,532
405,mayor,04-11,240
406,mayor,04-10,139
407,mayor,04-14,2666
408,mayor,09-14,4030
409,mayor,07-12,646
410,mayor,09-10,160
411,mayor,09-11,217
412,mayor,09-12,971
413,mayor,07-13,2599
414,mayor,07-10,107
415,mayor,07-11,239
416,mayor,11-14,6864
417,mayor,11-11,670
418,mayor,11-10,132
419,mayor,11-13,5880
420,mayor,11-12,1293
421,mayor,02-08,1
422,mayor,02-09,19
423,mayor,05-10,129
424,mayor,05-11,215
425,mayor,05-12,625
426,mayor,05-13,2075
427,mayor,05-14,3077
428,mayor,04-09,55
429,mayor,04-07,1
430,mayor,06-11,266
431,mayor,06-10,107
432,mayor,06-13,1586
433,mayor,06-12,510
434,mayor,06-14,2648
435,mayor,07-09,96
436,mayor,03-09,28
437,mayor,03-08,1
438,mayor,11-08,7
439,mayor,11-09,90
440,mayor,07-14,3371
441,mayor,08-14,4818
442,mayor,08-13,2282
443,mayor,08-12,651
444,mayor,08-11,342
445,mayor,08-10,107
446,mayor,06-08,2
447,mayor,06-09,45
448,mayor,03-12,415
449,mayor,03-13,1321
450,mayor,03-10,103
451,mayor,03-11,216
452,mayor,10-07,2
453,mayor,10-09,65
454,mayor,10-08,22
455,mayor,08-08,11
456,mayor,08-09,57
457,mayor,01-09,14
458,mayor,10-12,1124
459,mayor,10-13,2078
460,mayor,10-10,163
461,mayor,10-11,540
462,mayor,10-14,6999
463,mayor,01-14,4494
464,mayor,01-15,2769
465,mayor,01-10,71
466,mayor,03-14,3292
467,mayor,01-12,371
468,mayor,01-13,1089
469,mayor,12-09,71
470,mayor,12-08,8
471,mayor,01-11,222
472,mayor,12-14,12511
473,mayor,12-10,144
474,mayor,12-11,302
475,mayor,12-12,679
476,mayor,12-13,1805
477,voter,09-13,2783
478,voter,09-09,65
479,voter,09-08,28
480,voter,02-15,536
481,voter,02-14,2589
482,voter,02-11,107
483,voter,02-10,36
484,voter,02-13,1337
485,voter,02-12,688
486,voter,05-09,42
487,voter,05-08,1
488,voter,04-13,1338
489,voter,04-12,787
490,voter,04-11,248
491,voter,04-10,71
492,voter,04-14,4396
493,voter,09-14,10371
494,voter,07-12,1261
495,voter,09-10,129
496,voter,09-11,291
497,voter,09-12,3080
498,voter,07-13,2097
499,voter,07-10,82
500,voter,08-10,152
501,voter,11-14,24353
502,voter,11-11,469
503,voter,11-10,362
504,voter,11-13,3466
505,voter,11-12,8182
506,voter,02-08,1
507,voter,02-09,7
508,voter,05-10,82
509,voter,05-11,256
510,voter,05-12,1053
511,voter,05-13,1594
512,voter,05-14,4960
513,voter,07-08,3
514,voter,04-08,2
515,voter,04-09,32
516,voter,06-11,207
517,voter,06-10,83
518,voter,06-13,2397
519,voter,06-12,1345
520,voter,06-14,5757
521,voter,07-09,26
522,voter,03-09,18
523,voter,03-08,3
524,voter,11-08,63
525,voter,11-09,92
526,voter,07-14,5023
527,voter,08-14,6474
528,voter,08-13,2683
529,voter,08-12,2349
530,voter,08-11,251
531,voter,07-11,258
532,voter,06-08,2
533,voter,06-09,48
534,voter,03-12,1067
535,voter,03-13,1419
536,voter,03-10,56
537,voter,03-11,149
538,voter,03-14,3553
539,voter,10-09,45
540,voter,10-08,87
541,voter,08-08,11
542,voter,08-09,44
543,voter,01-09,9
544,voter,01-08,3
545,voter,10-12,6893
546,voter,10-13,3776
547,voter,10-10,211
548,voter,10-11,398
549,voter,10-14,17339
550,voter,01-14,2759
551,voter,01-15,3339
552,voter,01-10,112
553,voter,01-11,74
554,voter,01-12,1023
555,voter,01-13,1349
556,voter,12-09,19
557,voter,12-08,4
558,voter,12-14,7021
559,voter,12-10,77
560,voter,12-11,381
561,voter,12-12,965
562,voter,12-13,1643
563,candidate,09-09,61
564,candidate,09-08,30
565,candidate,02-15,431
566,candidate,02-14,2540
567,candidate,02-11,120
568,candidate,02-10,99
569,candidate,02-13,1096
570,candidate,02-12,1150
571,candidate,05-07,2
572,candidate,07-13,1381
573,candidate,05-09,37
574,candidate,05-08,4
575,candidate,04-13,995
576,candidate,04-12,885
577,candidate,04-11,371
578,candidate,04-10,128
579,candidate,04-14,3501
580,candidate,09-14,6286
581,candidate,07-12,905
582,candidate,09-10,191
583,candidate,09-11,823
584,candidate,09-12,2225
585,candidate,09-13,1896
586,candidate,08-11,517
587,candidate,08-10,143
588,candidate,11-14,10680
589,candidate,11-11,944
590,candidate,11-10,230
591,candidate,11-13,2571
592,candidate,11-12,3789
593,candidate,02-08,3
594,candidate,02-09,21
595,candidate,05-10,122
596,candidate,05-11,327
597,candidate,05-12,726
598,candidate,05-13,1192
599,candidate,05-14,4652
600,candidate,07-08,4
601,candidate,04-08,7
602,candidate,04-09,29
603,candidate,06-11,466
604,candidate,06-10,121
605,candidate,06-13,1165
606,candidate,06-12,621
607,candidate,06-14,4609
608,candidate,07-09,45
609,candidate,03-07,1
610,candidate,03-09,26
611,candidate,03-08,2
612,candidate,11-08,23
613,candidate,11-09,72
614,candidate,07-14,3525
615,candidate,08-14,4392
616,candidate,08-13,1633
617,candidate,08-12,1705
618,candidate,07-10,116
619,candidate,07-11,206
620,candidate,06-08,6
621,candidate,06-09,60
622,candidate,03-12,1128
623,candidate,03-13,1209
624,candidate,03-10,101
625,candidate,03-11,228
626,candidate,10-07,3
627,candidate,10-09,75
628,candidate,10-08,63
629,candidate,08-08,10
630,candidate,08-09,52
631,candidate,08-07,1
632,candidate,01-09,13
633,candidate,01-08,1
634,candidate,10-12,6934
635,candidate,10-13,2315
636,candidate,10-10,289
637,candidate,10-11,858
638,candidate,10-14,11592
639,candidate,01-14,2504
640,candidate,01-15,3559
641,candidate,01-10,94
642,candidate,03-14,3504
643,candidate,01-12,2224
644,candidate,01-13,829
645,candidate,12-09,43
646,candidate,12-08,11
647,candidate,01-11,129
648,candidate,12-14,5700
649,candidate,12-10,70
650,candidate,12-11,1022
651,candidate,12-12,528
652,candidate,12-13,1295
653,feminist,02-15,296
654,feminist,02-14,719
655,feminist,10-10,6
656,feminist,10-11,50
657,feminist,08-12,110
658,feminist,02-10,5
659,feminist,10-14,4947
660,feminist,02-12,64
661,feminist,03-09,4
662,feminist,02-13,345
663,feminist,10-13,499
664,feminist,09-08,1
665,feminist,02-11,17
666,feminist,07-14,2088
667,feminist,08-14,2358
668,feminist,07-12,112
669,feminist,07-13,420
670,feminist,08-11,41
671,feminist,08-10,10
672,feminist,04-13,384
673,feminist,01-15,2116
674,feminist,04-11,23
675,feminist,04-10,10
676,feminist,01-10,6
677,feminist,11-13,513
678,feminist,01-12,50
679,feminist,01-13,212
680,feminist,09-14,3594
681,feminist,08-13,502
682,feminist,11-12,138
683,feminist,09-10,11
684,feminist,09-11,31
685,feminist,09-12,115
686,feminist,09-13,454
687,feminist,12-09,1
688,feminist,05-09,3
689,feminist,07-10,3
690,feminist,06-08,1
691,feminist,07-11,18
692,feminist,05-11,17
693,feminist,03-12,96
694,feminist,11-14,6806
695,feminist,03-10,7
696,feminist,03-11,37
697,feminist,11-11,38
698,feminist,11-10,14
699,feminist,03-14,940
700,feminist,04-12,85
701,feminist,10-09,7
702,feminist,10-08,2
703,feminist,03-13,328
704,feminist,05-10,4
705,feminist,08-09,13
706,feminist,05-12,62
707,feminist,05-13,258
708,feminist,05-14,2153
709,feminist,06-09,12
710,feminist,11-08,1
711,feminist,04-08,1
712,feminist,11-09,4
713,feminist,01-11,11
714,feminist,12-14,4399
715,feminist,10-12,167
716,feminist,01-14,757
717,feminist,12-10,12
718,feminist,12-11,34
719,feminist,12-12,144
720,feminist,12-13,745
721,feminist,09-09,6
722,feminist,04-14,891
723,feminist,06-11,63
724,feminist,06-10,15
725,feminist,06-13,374
726,feminist,06-12,75
727,feminist,06-14,1763
728,feminist,04-09,4
729,feminist,07-09,1
730,writer,09-13,2673
731,writer,09-09,91
732,writer,09-08,17
733,writer,02-15,617
734,writer,02-14,3998
735,writer,02-11,253
736,writer,02-10,163
737,writer,02-13,1760
738,writer,02-12,691
739,writer,05-09,96
740,writer,05-08,4
741,writer,04-13,2010
742,writer,04-12,823
743,writer,04-11,348
744,writer,04-10,131
745,writer,04-14,4984
746,writer,09-14,7250
747,writer,07-12,933
748,writer,09-10,168
749,writer,09-11,464
750,writer,09-12,1105
751,writer,08-12,1079
752,writer,07-10,149
753,writer,07-11,367
754,writer,11-14,9748
755,writer,11-11,558
756,writer,11-10,180
757,writer,11-13,2945
758,writer,11-12,1463
759,writer,02-08,1
760,writer,02-09,41
761,writer,05-10,154
762,writer,05-11,369
763,writer,05-12,827
764,writer,05-13,1930
765,writer,05-14,5072
766,writer,07-08,7
767,writer,04-08,5
768,writer,04-09,91
769,writer,06-11,350
770,writer,06-10,125
771,writer,06-13,1998
772,writer,06-12,866
773,writer,06-14,4778
774,writer,07-09,113
775,writer,11-07,4
776,writer,03-09,57
777,writer,03-08,1
778,writer,11-08,13
779,writer,11-09,103
780,writer,07-14,5718
781,writer,08-14,6211
782,writer,08-13,2481
783,writer,07-13,2243
784,writer,08-11,461
785,writer,08-10,179
786,writer,06-08,3
787,writer,06-09,92
788,writer,03-12,746
789,writer,03-13,1892
790,writer,03-10,155
791,writer,03-11,308
792,writer,03-14,4935
793,writer,10-09,128
794,writer,10-08,8
795,writer,08-08,12
796,writer,08-09,111
797,writer,01-09,33
798,writer,01-08,2
799,writer,10-12,1248
800,writer,10-13,3050
801,writer,10-10,202
802,writer,10-11,507
803,writer,10-14,8760
804,writer,01-14,4131
805,writer,01-15,5813
806,writer,01-10,118
807,writer,01-11,243
808,writer,01-12,662
809,writer,01-13,1899
810,writer,12-09,103
811,writer,12-08,29
812,writer,12-07,2
813,writer,12-14,9559
814,writer,12-10,153
815,writer,12-11,525
816,writer,12-12,1182
817,writer,12-13,3072
818,citizen,09-13,3018
819,citizen,09-09,95
820,citizen,09-08,5
821,citizen,02-15,460
822,citizen,02-14,3596
823,citizen,02-11,258
824,citizen,02-10,80
825,citizen,02-13,2260
826,citizen,02-12,558
827,citizen,05-09,51
828,citizen,05-08,4
829,citizen,04-13,3404
830,citizen,04-12,638
831,citizen,04-11,313
832,citizen,04-10,135
833,citizen,04-14,4835
834,citizen,09-14,9142
835,citizen,07-12,1071
836,citizen,09-10,93
837,citizen,09-11,433
838,citizen,09-12,1426
839,citizen,07-13,2982
840,citizen,07-10,125
841,citizen,08-10,114
842,citizen,11-14,19521
843,citizen,11-11,497
844,citizen,11-10,162
845,citizen,11-13,2530
846,citizen,11-12,2061
847,citizen,02-08,2
848,citizen,02-09,11
849,citizen,05-10,124
850,citizen,05-11,246
851,citizen,05-12,717
852,citizen,05-13,2237
853,citizen,05-14,4669
854,citizen,07-08,2
855,citizen,07-07,1
856,citizen,04-08,3
857,citizen,04-09,45
858,citizen,06-11,305
859,citizen,06-10,130
860,citizen,06-13,3569
861,citizen,06-12,1004
862,citizen,06-14,5848
863,citizen,07-09,90
864,citizen,11-07,2
865,citizen,03-09,35
866,citizen,03-08,1
867,citizen,11-08,24
868,citizen,11-09,77
869,citizen,07-14,9079
870,citizen,08-14,15079
871,citizen,08-13,2725
872,citizen,08-12,987
873,citizen,08-11,325
874,citizen,07-11,341
875,citizen,06-08,1
