,0,1,2,3
0,teen,10-28-14,-6.9456,473
1,teen,10-28-11,4.8579,33
2,teen,10-28-10,-0.2223,9
3,teen,10-28-13,-4.5769,179
4,teen,10-28-12,-6.9819,53
5,teen,06-28-09,0.0,1
6,teen,06-28-08,0.0,1
7,teen,01-28-09,0.6875,1
8,teen,04-28-14,-12.4622,206
9,teen,04-28-10,-0.1197,7
10,teen,04-28-11,0.2346,13
11,teen,04-28-12,2.3506,33
12,teen,04-28-13,8.8462,92
13,teen,04-7-14,-12.7656,439
14,teen,04-7-13,2.122,159
15,teen,04-7-12,0.4182,79
16,teen,04-7-11,3.1521,26
17,teen,04-7-10,-1.2271,8
18,teen,12-28-08,0.7351,1
19,teen,12-28-09,-0.085,3
20,teen,07-28-08,0.2263,1
21,teen,07-28-09,0.4931,6
22,teen,02-21-09,-0.2858,6
23,teen,09-21-09,1.516,6
24,teen,09-21-08,0.5994,1
25,teen,08-21-08,-0.4404,1
26,teen,08-21-09,0.0711,12
27,teen,02-7-15,5.5269,51
28,teen,02-7-14,-46.6463,559
29,teen,07-0-09,0.3637,4
30,teen,02-7-11,1.3998,34
31,teen,02-7-10,1.0894,6
32,teen,02-7-13,-5.5923,164
33,teen,02-7-12,0.9316,55
34,teen,06-0-09,2.5954,9
35,teen,06-0-08,-0.2422,1
36,teen,11-21-08,0.3244,1
37,teen,11-21-09,1.9079,19
38,teen,01-0-09,0.0,1
39,teen,04-0-09,0.3209,6
40,teen,11-7-14,1.3411,802
41,teen,11-7-11,5.3991,50
42,teen,11-7-10,2.6029,13
43,teen,05-7-09,0.5748,6
44,teen,11-7-12,-2.3054,114
45,teen,05-21-09,-0.9768,11
46,teen,04-14-14,-14.7377,405
47,teen,04-14-12,5.3932,86
48,teen,04-14-13,-7.1406,189
49,teen,04-14-10,0.2311,17
50,teen,04-14-11,3.6378,37
51,teen,05-0-13,-8.773,186
52,teen,05-0-12,3.6905,57
53,teen,05-0-11,2.7946,28
54,teen,05-0-10,0.3302,9
55,teen,05-0-14,-19.2378,391
56,teen,01-14-15,0.1878,428
57,teen,01-14-14,-8.3442,338
58,teen,01-14-11,-0.2434,26
59,teen,01-14-10,4.1686,12
60,teen,01-14-13,4.0801,144
61,teen,01-14-12,-4.8698,63
62,teen,12-0-08,0.0,1
63,teen,12-0-09,-0.2332,3
64,teen,12-14-14,-18.485,871
65,teen,12-14-11,2.7081,40
66,teen,12-14-10,3.6169,25
67,teen,12-14-13,-17.2274,315
68,teen,12-14-12,-12.4869,109
69,teen,01-7-10,0.3866,16
70,teen,01-7-11,-1.6042,18
71,teen,01-7-12,-2.7858,46
72,teen,01-7-13,-6.5211,158
73,teen,01-7-14,1.8671,340
74,teen,01-7-15,10.707,534
75,teen,12-7-10,4.7245,12
76,teen,12-7-11,4.1978,63
77,teen,12-7-12,2.6031,98
78,teen,12-7-13,-24.0855,312
79,teen,12-7-14,-43.577,895
80,teen,03-0-09,0.6206,3
81,teen,03-28-09,0.2562,6
82,teen,10-0-09,2.261,21
83,teen,09-28-08,0.0,1
84,teen,09-28-09,-0.7974,9
85,teen,09-0-14,-55.6529,709
86,teen,09-0-13,3.0499,214
87,teen,09-0-12,1.6888,55
88,teen,09-0-11,-1.211,29
89,teen,09-0-10,0.5965,6
90,teen,11-7-13,20.0334,273
91,teen,10-28-09,-1.5363,3
92,teen,06-14-09,2.7812,10
93,teen,06-14-08,0.2732,2
94,teen,07-7-09,1.7592,6
95,teen,06-28-14,-95.6364,397
96,teen,06-28-12,3.0273,34
97,teen,06-28-13,-3.0686,122
98,teen,06-28-10,-0.3617,8
99,teen,06-28-11,3.5959,19
100,teen,08-14-09,2.3043,12
